Simulation level:metapop
Simulation finished in 121.94 s
Outputs stored in outputs/counts.csv
         250768863 function calls (217796981 primitive calls) in 123.470 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1527    0.147    0.000    0.147    0.000 {built-in method marshal.loads}
     9996    0.008    0.000    0.147    0.000 <__array_function__ internals>:2(vstack)
   277834    0.146    0.000    0.146    0.000 {built-in method builtins.setattr}
        1    0.000    0.000    0.146    0.146 series.py:3(<module>)
    15606    0.010    0.000    0.145    0.000 common.py:1163(is_datetime64_any_dtype)
   276405    0.145    0.000    0.145    0.000 {method 'update' of 'dict' objects}
   196605    0.046    0.000    0.144    0.000 managers.py:169(<genexpr>)
     5100    0.059    0.000    0.144    0.000 {pandas._libs.lib.clean_index_list}
        1    0.000    0.000    0.144    0.144 __init__.py:106(<module>)
   971340    0.139    0.000    0.139    0.000 sortedlist.py:351(<genexpr>)
   137580    0.077    0.000    0.139    0.000 {built-in method _bisect.bisect_right}
    25296    0.048    0.000    0.138    0.000 numerictypes.py:602(find_common_type)
   705993    0.135    0.000    0.135    0.000 common.py:209(classes)
     1717    0.010    0.000    0.133    0.000 <frozen importlib._bootstrap>:882(_find_spec)
    71451    0.081    0.000    0.132    0.000 base.py:4262(__getitem__)
        1    0.000    0.000    0.132    0.132 __init__.py:58(<module>)
   203847    0.093    0.000    0.131    0.000 common.py:219(<lambda>)
        1    0.000    0.000    0.131    0.131 _core.py:1(<module>)
        1    0.000    0.000    0.130    0.130 boxplot.py:1(<module>)
    71400    0.042    0.000    0.130    0.000 managers.py:1857(_asarray_compat)
    30313    0.019    0.000    0.129    0.000 {method 'all' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.129    0.129 __init__.py:101(<module>)
        1    0.000    0.000    0.128    0.128 metamodel.py:3(<module>)
    69362    0.116    0.000    0.127    0.000 <frozen importlib._bootstrap>:78(acquire)
        1    0.000    0.000    0.126    0.126 figure.py:11(<module>)
    50745    0.029    0.000    0.125    0.000 blocks.py:217(get_values)
     5049    0.005    0.000    0.124    0.000 base.py:1470(rename)
        2    0.000    0.000    0.123    0.062 __init__.py:16(<module>)
    31188    0.046    0.000    0.123    0.000 {built-in method _bisect.insort_right}
        1    0.000    0.000    0.123    0.123 simulation.py:5(<module>)
        1    0.000    0.000    0.122    0.122 registration.py:3(<module>)
1669/1668    0.003    0.000    0.122    0.000 <frozen importlib._bootstrap>:576(module_from_spec)
   349465    0.122    0.000    0.122    0.000 _collections_abc.py:698(__init__)
    20797    0.039    0.000    0.121    0.000 lambdify.py:442(<listcomp>)
        8    0.000    0.000    0.121    0.015 __init__.py:8(<module>)
     9996    0.019    0.000    0.120    0.000 shape_base.py:223(vstack)
    91701    0.016    0.000    0.120    0.000 {method 'copy' of 'dict' objects}
    76500    0.031    0.000    0.120    0.000 construction.py:248(<genexpr>)
     5049    0.010    0.000    0.119    0.000 base.py:1390(set_names)
    40851    0.021    0.000    0.117    0.000 common.py:741(condition)
     1712    0.001    0.000    0.117    0.000 <frozen importlib._bootstrap_external>:1272(find_spec)
    10664    0.030    0.000    0.116    0.000 emulsion_agent.py:325(_compute_values_for_unique_population)
    45441    0.040    0.000    0.116    0.000 common.py:1510(is_numeric_dtype)
   137580    0.105    0.000    0.115    0.000 sortedlist.py:286(_expand)
     1712    0.005    0.000    0.115    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
    10200    0.027    0.000    0.115    0.000 numeric.py:47(__new__)
    75735    0.022    0.000    0.115    0.000 concat.py:157(<genexpr>)
    30364    0.082    0.000    0.112    0.000 printer.py:196(__init__)
    15664    0.111    0.000    0.111    0.000 {method 'binomial' of 'numpy.random.mtrand.RandomState' objects}
    30313    0.012    0.000    0.110    0.000 _methods.py:47(_all)
   243117    0.082    0.000    0.109    0.000 base.py:723(__len__)
    10149    0.016    0.000    0.108    0.000 blocks.py:2788(__init__)
     3370    0.005    0.000    0.108    0.000 re.py:271(_compile)
     2595    0.019    0.000    0.105    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
    20451    0.049    0.000    0.105    0.000 base.py:569(_simple_new)
    10353    0.024    0.000    0.105    0.000 common.py:240(asarray_tuplesafe)
   111/49    0.000    0.000    0.104    0.002 __init__.py:870(__getitem__)
        1    0.000    0.000    0.103    0.103 pyplot.py:19(<module>)
   251774    0.101    0.000    0.103    0.000 {built-in method _abc._abc_instancecheck}
        1    0.000    0.000    0.103    0.103 colorbar.py:20(<module>)
    67716    0.065    0.000    0.102    0.000 <frozen importlib._bootstrap>:58(__init__)
   127673    0.073    0.000    0.101    0.000 common.py:2020(pandas_dtype)
    71400    0.032    0.000    0.100    0.000 cast.py:1264(construct_1d_ndarray_preserving_na)
   159704    0.075    0.000    0.100    0.000 _collections_abc.py:701(__len__)
     5049    0.012    0.000    0.099    0.000 concat.py:492(_concat_index_same_dtype)
      322    0.002    0.000    0.099    0.000 sre_compile.py:759(compile)
    14994    0.096    0.000    0.096    0.000 {pandas._libs.algos.take_2d_axis0_int64_int64}
   137241    0.064    0.000    0.094    0.000 common.py:1850(_get_dtype)
    69362    0.085    0.000    0.093    0.000 <frozen importlib._bootstrap>:103(release)
       51    0.001    0.000    0.093    0.002 generic.py:3078(to_csv)
     5049    0.013    0.000    0.093    0.000 blocks.py:358(concat_same_type)
      363    0.000    0.000    0.091    0.000 re.py:232(compile)
    14733    0.059    0.000    0.091    0.000 emulsion_model.py:691(get_prototype)
    67716    0.062    0.000    0.089    0.000 <frozen importlib._bootstrap>:176(cb)
    71400    0.023    0.000    0.089    0.000 common.py:297(maybe_iterable_to_list)
    95736    0.089    0.000    0.089    0.000 {built-in method numpy.arange}
     1025    0.002    0.000    0.088    0.000 groups.py:123(__init__)
      138    0.000    0.000    0.087    0.001 <frozen importlib._bootstrap_external>:1040(create_module)
      138    0.086    0.001    0.087    0.001 {built-in method _imp.create_dynamic}
   657110    0.087    0.000    0.087    0.000 {method 'append' of 'list' objects}
