Simulation level:metapop
Simulation finished in 107.32 s
Outputs stored in outputs/counts.csv
         238129223 function calls (202679393 primitive calls) in 110.198 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   616255    0.149    0.000    0.149    0.000 {built-in method __new__ of type object at 0x109e88568}
    80817    0.136    0.000    0.148    0.000 sortedlist.py:461(_delete)
    71757    0.043    0.000    0.146    0.000 common.py:577(is_timedelta64_dtype)
    15606    0.010    0.000    0.146    0.000 common.py:1163(is_datetime64_any_dtype)
        1    0.000    0.000    0.144    0.144 series.py:3(<module>)
        1    0.000    0.000    0.143    0.143 community.py:12(<module>)
   204764    0.100    0.000    0.143    0.000 numerictypes.py:293(issubclass_)
        1    0.000    0.000    0.142    0.142 __init__.py:106(<module>)
       51    0.000    0.000    0.141    0.003 concat.py:525(_get_comb_axis)
       51    0.000    0.000    0.141    0.003 api.py:68(_get_objs_combined_axis)
   279010    0.140    0.000    0.140    0.000 {built-in method builtins.setattr}
     5100    0.055    0.000    0.140    0.000 {pandas._libs.lib.clean_index_list}
30421/30362    0.089    0.000    0.140    0.000 printer.py:235(_print)
        1    0.000    0.000    0.138    0.138 polytools.py:1(<module>)
     6762    0.005    0.000    0.134    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
   138111    0.075    0.000    0.134    0.000 {built-in method _bisect.bisect_right}
    45951    0.021    0.000    0.134    0.000 {method 'any' of 'numpy.ndarray' objects}
    61756    0.134    0.000    0.134    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    69656    0.123    0.000    0.134    0.000 <frozen importlib._bootstrap>:78(acquire)
        1    0.000    0.000    0.133    0.133 expression.py:15(<module>)
       51    0.000    0.000    0.132    0.003 api.py:110(_get_combined_index)
   969096    0.131    0.000    0.131    0.000 sortedlist.py:351(<genexpr>)
        1    0.000    0.000    0.131    0.131 __init__.py:58(<module>)
        1    0.000    0.000    0.130    0.130 _core.py:1(<module>)
        1    0.000    0.000    0.129    0.129 boxplot.py:1(<module>)
        1    0.000    0.000    0.128    0.128 __init__.py:101(<module>)
       51    0.002    0.000    0.127    0.002 api.py:151(_union_indexes)
   206792    0.054    0.000    0.125    0.000 abc.py:137(__instancecheck__)
    71400    0.040    0.000    0.125    0.000 managers.py:1857(_asarray_compat)
   277386    0.124    0.000    0.125    0.000 {method 'update' of 'dict' objects}
    71451    0.075    0.000    0.123    0.000 base.py:4262(__getitem__)
       51    0.000    0.000    0.123    0.002 concat.py:535(_get_concat_axis)
    15300    0.048    0.000    0.122    0.000 _asarray.py:223(require)
       51    0.000    0.000    0.122    0.002 concat.py:595(_concat_indexes)
       51    0.000    0.000    0.122    0.002 simulation.py:177(update_csv_counts)
       51    0.001    0.000    0.122    0.002 base.py:4310(append)
    25857    0.010    0.000    0.121    0.000 common.py:711(is_string_dtype)
       51    0.024    0.000    0.121    0.002 simulation.py:91(update_outputs)
     3370    0.005    0.000    0.121    0.000 re.py:271(_compile)
       51    0.000    0.000    0.120    0.002 base.py:4339(_concat)
    87006    0.059    0.000    0.120    0.000 {pandas._libs.lib.is_list_like}
    10098    0.022    0.000    0.118    0.000 missing.py:393(array_equivalent)
    31147    0.043    0.000    0.118    0.000 {built-in method _bisect.insort_right}
    31059    0.018    0.000    0.117    0.000 common.py:1825(_is_dtype)
        2    0.000    0.000    0.115    0.058 __init__.py:3234(_call_aside)
        1    0.000    0.000    0.115    0.115 __init__.py:3251(_initialize_master_working_set)
    25500    0.015    0.000    0.115    0.000 concat.py:139(dtype)
   138111    0.104    0.000    0.115    0.000 sortedlist.py:286(_expand)
      715    0.006    0.000    0.115    0.000 decorator.py:197(create)
    46011    0.014    0.000    0.114    0.000 _methods.py:44(_any)
    76500    0.028    0.000    0.114    0.000 construction.py:248(<genexpr>)
      322    0.002    0.000    0.112    0.000 sre_compile.py:759(compile)
        1    0.000    0.000    0.111    0.111 __init__.py:635(<module>)
    10499    0.029    0.000    0.111    0.000 emulsion_agent.py:325(_compute_values_for_unique_population)
    20798    0.035    0.000    0.110    0.000 lambdify.py:442(<listcomp>)
    68010    0.072    0.000    0.108    0.000 <frozen importlib._bootstrap>:58(__init__)
    30365    0.079    0.000    0.108    0.000 printer.py:196(__init__)
       16    0.000    0.000    0.108    0.007 __init__.py:611(add_entry)
   360841    0.107    0.000    0.107    0.000 _collections_abc.py:698(__init__)
      192    0.001    0.000    0.105    0.001 __init__.py:2037(find_on_path)
    15499    0.105    0.000    0.105    0.000 {method 'binomial' of 'numpy.random.mtrand.RandomState' objects}
    10353    0.023    0.000    0.105    0.000 common.py:240(asarray_tuplesafe)
      363    0.000    0.000    0.104    0.000 re.py:232(compile)
      138    0.001    0.000    0.104    0.001 <frozen importlib._bootstrap_external>:1040(create_module)
    15622    0.034    0.000    0.103    0.000 _dtype.py:46(__str__)
      138    0.102    0.001    0.103    0.001 {built-in method _imp.create_dynamic}
   173859    0.073    0.000    0.103    0.000 common.py:219(<lambda>)
        1    0.000    0.000    0.103    0.103 numberfields.py:1(<module>)
   111/49    0.000    0.000    0.102    0.002 __init__.py:870(__getitem__)
        1    0.000    0.000    0.102    0.102 pyplot.py:19(<module>)
        1    0.000    0.000    0.101    0.101 functions.py:10(<module>)
        1    0.000    0.000    0.101    0.101 colorbar.py:20(<module>)
    69656    0.090    0.000    0.099    0.000 <frozen importlib._bootstrap>:103(release)
    71400    0.032    0.000    0.098    0.000 cast.py:1264(construct_1d_ndarray_preserving_na)
    10557    0.008    0.000    0.097    0.000 common.py:1466(needs_i8_conversion)
        1    0.000    0.000    0.097    0.097 rootoftools.py:1(<module>)
    25500    0.044    0.000    0.094    0.000 concat.py:130(needs_filling)
   127673    0.067    0.000    0.094    0.000 common.py:2020(pandas_dtype)
        1    0.000    0.000    0.094    0.094 polyroots.py:1(<module>)
   160292    0.068    0.000    0.093    0.000 _collections_abc.py:701(__len__)
        1    0.000    0.000    0.092    0.092 basic.py:5(<module>)
    68010    0.065    0.000    0.092    0.000 <frozen importlib._bootstrap>:176(cb)
       51    0.001    0.000    0.092    0.002 generic.py:3078(to_csv)
        1    0.000    0.000    0.089    0.089 annotations.py:10(<module>)
      356    0.002    0.000    0.088    0.000 __init__.py:2124(distributions_from_metadata)
    14752    0.057    0.000    0.088    0.000 emulsion_model.py:691(get_prototype)
8270/7078    0.009    0.000    0.087    0.000 {built-in method builtins.any}
     1021    0.002    0.000    0.087    0.000 groups.py:123(__init__)
   143361    0.062    0.000    0.086    0.000 {pandas._libs.lib.is_scalar}
        1    0.000    0.000    0.086    0.086 __init__.py:569(_build_master)
        1    0.000    0.000    0.086    0.086 __init__.py:556(__init__)
    71400    0.022    0.000    0.085    0.000 common.py:297(maybe_iterable_to_list)
   481083    0.085    0.000    0.085    0.000 common.py:209(classes)
     1021    0.002    0.000    0.085    0.000 groups.py:34(__init__)
        1    0.000    0.000    0.085    0.085 polyfuncs.py:1(<module>)
        1    0.000    0.000    0.083    0.083 specialpolys.py:1(<module>)
        1    0.000    0.000    0.083    0.083 emulsion_model.py:58(__init__)
        1    0.000    0.000    0.082    0.082 expr.py:1(<module>)
       51    0.000    0.000    0.081    0.002 csvs.py:155(save)
       51    0.000    0.000    0.080    0.002 csvs.py:308(_save)
       51    0.002    0.000    0.080    0.002 csvs.py:326(_save_chunk)
    34891    0.019    0.000    0.079    0.000 <frozen importlib._bootstrap>:151(__exit__)
        1    0.000    0.000    0.077    0.077 ctx_fp.py:1(<module>)
     5151    0.047    0.000    0.077    0.000 {pandas._libs.lib.infer_dtype}
     5151    0.007    0.000    0.076    0.000 blocks.py:2788(__init__)
     2638    0.004    0.000    0.075    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
     2417    0.002    0.000    0.075    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
    10251    0.031    0.000    0.075    0.000 cast.py:1239(construct_1d_object_array_from_listlike)
        1    0.000    0.000    0.075    0.075 orthogonal.py:72(<module>)
    10499    0.061    0.000    0.074    0.000 misc.py:83(rates_to_probabilities)
     1142    0.074    0.000    0.074    0.000 {built-in method builtins.compile}
      719    0.002    0.000    0.073    0.000 views.py:35(__init__)
